"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Área plantada (Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Campo Belo (MG),20097,-,20669,-,21090,-,21920,-,23202,-,24062,-,23497,-,22471,-,22193,-,21287,-,20962,-,22858,-,24407,-,23368,-,23270,-,24197,-,23031,-,21104,1,16873,-,20760,-,23696,-
Oliveira (MG),24788,-,23126,-,22674,-,26884,-,25635,2,23938,2,24719,2,20846,2,21497,12,21433,12,19415,12,18766,12,15995,12,17189,-,14803,-,13772,7,8848,7,6538,2,5852,3,6675,3,7262,1
Passos (MG),58039,-,62162,-,61485,-,67699,-,83627,-,85203,-,81356,-,69950,-,77820,-,73985,-,73775,-,75600,-,74063,-,84600,-,90294,-,82810,-,86603,-,97983,-,98391,-,107198,-,111909,-
São Sebastião do Paraíso (MG),50865,-,48142,-,50111,-,53852,-,65819,-,66931,-,64415,-,61314,-,61775,-,60217,-,66553,-,65603,-,70197,-,64227,-,60595,-,63103,-,61046,-,34465,1,31597,1,32752,1,36194,-
Alfenas (MG),48588,8,51792,8,54535,-,62564,-,66759,46,65302,47,59155,38,53990,35,58462,29,51020,26,49860,26,51092,26,54139,26,58825,16,59946,9,61866,53,71652,49,73262,52,77899,35,85192,69,84603,61
Varginha (MG),56777,5,55057,-,61251,-,80304,-,81605,-,77813,-,73081,-,67088,-,69051,-,67852,-,68982,-,75277,-,81464,-,85372,-,83420,-,83643,-,82084,5,79389,1,77565,1,97565,1,96383,-
Poços de Caldas (MG),29529,152,31658,330,33830,380,34946,350,34390,342,35264,350,32173,350,28374,380,27926,356,24494,330,23785,310,24977,372,26126,382,27823,330,28262,280,26882,300,26093,250,14559,71,18339,143,20765,428,19571,173
Pouso Alegre (MG),30652,31,27875,31,32664,19,32804,20,30678,32,31442,30,29181,35,28502,23,28129,23,29758,23,29137,43,28557,49,26754,49,27683,28,27265,15,24908,42,24672,42,15777,54,18179,42,17930,55,20298,64
Santa Rita do Sapucaí (MG),24606,6,22081,2,22352,2,22761,1,26487,1,25829,1,24150,-,22304,-,23382,-,23814,-,23951,-,23855,-,21274,-,23392,-,26492,-,21429,8,24165,27,25730,112,27241,314,28197,214,26304,309
São Lourenço (MG),10505,-,11487,-,12437,-,16623,-,19226,-,19069,-,18592,-,18389,-,17836,-,18037,-,18039,-,17653,-,17690,-,18297,-,18352,-,21982,2,20637,-,18833,-,18079,-,21722,-,23111,-
Andrelândia (MG),24350,-,22201,-,21104,-,21911,-,22933,-,23165,-,19827,-,20298,-,22371,-,22958,-,22083,-,22163,-,22824,-,22434,-,21599,-,22314,-,24316,-,18399,1,21125,16,25584,16,27753,15
Itajubá (MG),12761,39,13142,39,11776,26,11231,24,10607,24,10396,24,10563,21,10649,21,10482,20,10607,20,10723,20,10044,22,9478,22,10134,18,10341,-,9446,28,8140,28,3647,5,4105,3,4343,3,4003,1
Lavras (MG),18814,7,20138,6,20840,3,22858,4,27084,4,25992,4,24648,4,23286,4,21897,7,21598,5,19822,-,21179,-,20901,-,21699,-,25828,-,26222,-,28728,1,28111,27,31322,32,49128,81,43015,151
São João Del Rei (MG),29216,6,30641,6,28940,8,34229,-,38337,-,41032,-,38494,-,35773,-,38952,-,43101,-,43261,82,41553,82,47736,82,61400,83,68449,200,68102,120,76536,202,60329,23,64890,221,91895,293,96566,267
Barbacena (MG),21158,14,28630,-,26381,-,25113,-,26132,-,27442,8,26747,10,26462,10,25414,10,25769,10,24972,10,24773,20,25795,27,24981,32,26370,32,25691,112,25122,64,18150,11,18015,12,18005,12,19295,15
Ponte Nova (MG),50281,-,39045,-,40510,-,40088,-,40903,-,41882,-,37495,-,36476,-,36298,-,35814,-,34034,-,39672,-,39844,-,39910,-,29574,-,26963,-,23810,-,24654,2,23544,-,23798,-,24416,-
Manhuaçu (MG),18527,7,18389,7,21857,7,29093,2,28729,-,31139,-,27000,-,26621,3,24296,1,23548,1,23103,1,22797,1,20965,1,22747,1,22207,-,21938,5,15834,1,9954,4,10068,3,10775,3,10939,2
Viçosa (MG),59459,2,57483,1,57295,-,57621,-,54231,-,54859,-,52361,-,50217,-,45071,-,43661,-,42427,-,38550,-,36795,-,35234,-,33031,-,31709,-,29485,-,26683,-,24833,-,23995,-,24140,-
Muriaé (MG),19519,12,18290,7,18113,-,19153,-,19671,-,20492,-,20192,-,17229,-,17449,-,16312,-,14860,-,13768,-,14800,-,13177,-,11852,-,11085,5,9476,5,7613,1,7856,1,8286,1,8004,1
Ubá (MG),30533,-,25554,-,26583,-,27052,-,24764,1,23541,1,22438,1,20846,1,18131,1,18136,1,16165,1,12402,1,11310,4,10949,-,11068,-,9856,7,8200,8,4314,3,3972,3,5014,3,4496,1
Juiz de Fora (MG),23951,-,21980,-,19861,-,18678,-,18210,-,16902,-,15845,-,14702,-,13476,-,12588,-,11759,-,11181,1,10118,-,11225,2,9753,-,8951,2,5940,2,2982,2,3098,2,3927,2,3577,2
Cataguases (MG),8215,5,7868,4,6376,1,6181,-,6627,-,6645,-,5952,-,5406,-,5023,-,4944,-,4518,-,4984,-,4714,-,3331,-,2847,-,2406,-,2038,-,1251,-,1272,-,1163,-,1115,-
Barra de São Francisco (ES),5020,-,4960,-,5340,-,4143,-,4566,-,4525,-,3397,-,2767,-,2298,-,2052,-,2142,-,1870,2,1792,2,1656,2,1237,2,1022,2,519,2,700,12,639,12,677,12,671,12
Nova Venécia (ES),6634,-,7613,-,8326,-,7565,-,8057,-,7781,-,7670,-,7899,10,7941,-,7707,10,7447,-,6077,-,5895,-,5744,-,4202,-,3721,-,1263,-,2890,-,2056,-,1760,-,1300,-
Colatina (ES),9545,-,8945,-,8765,-,5455,-,5885,-,5625,-,5445,-,5194,-,4210,-,4070,-,3390,-,3314,-,3478,-,2907,-,2451,-,2011,-,1128,-,1208,-,1192,-,1159,-,1138,6
Montanha (ES),9588,-,11077,-,10355,-,12128,-,14553,-,15256,-,14537,-,18369,-,23047,-,23437,-,24644,-,24271,-,24510,-,23300,-,22630,-,21046,1,18705,2,13696,4,15121,4,12335,6,11221,6
São Mateus (ES),16444,-,16846,-,18266,-,22515,-,21919,-,25009,-,24660,-,26124,-,26905,-,27196,-,26942,-,26517,1,26303,-,29274,-,29525,-,32990,-,28091,-,16776,-,19578,-,15101,-,14607,-
Linhares (ES),16895,-,19372,-,21891,-,24559,-,25677,-,24543,-,24155,-,21233,-,26098,-,26107,-,24132,-,18087,-,16268,-,15463,-,18999,-,17752,-,16249,-,13953,-,13495,-,13527,-,13467,-
Afonso Cláudio (ES),23163,20,20228,20,20770,20,21917,20,20622,20,18229,14,15505,16,14364,2,13748,2,14010,2,12347,5,12156,15,10065,15,9211,95,8225,15,7176,11,4868,15,4670,15,4818,15,4171,15,4263,15
Santa Teresa (ES),15338,233,14577,218,15983,58,16915,120,15455,126,15261,104,14508,170,11771,170,12643,170,13831,170,12532,170,13866,-,12066,-,10748,-,9175,80,8420,128,7332,136,6476,200,6862,200,6404,240,6641,290
Vitória (ES),1627,16,1179,15,1414,3,1277,3,1085,3,987,2,937,-,1057,-,883,-,999,-,742,-,709,-,674,-,587,-,703,-,686,-,585,-,633,-,657,-,692,2,721,2
Guarapari (ES),3466,-,2977,-,2822,-,2555,-,2682,-,2493,-,2493,-,2529,-,2347,-,2331,-,1721,-,1714,-,1758,-,1853,-,1909,-,1817,-,1631,-,1498,-,1503,-,1516,-,1495,-
Alegre (ES),14863,-,12120,-,14197,-,15213,-,15261,-,15562,-,13746,-,13620,-,14169,-,14199,-,3864,-,13101,-,13303,-,12118,-,11912,-,10948,-,10478,10,10680,10,10207,10,9608,10,9399,10
Cachoeiro de Itapemirim (ES),11167,-,9140,-,11647,-,12323,-,12524,-,11066,-,9430,-,9261,-,8847,-,8863,-,7770,-,8982,-,8655,-,6116,-,5129,-,3892,-,3030,-,3020,-,2811,-,2721,-,2663,-
Itapemirim (ES),17445,-,16885,-,15445,-,15960,-,17850,-,18025,5,17611,-,16976,-,16554,-,16649,-,16941,-,16720,-,16255,5,14959,2,14927,2,13460,8,12379,8,12313,8,12320,10,12485,13,12270,13
Itaperuna (RJ),8406,-,7785,-,6428,-,8589,-,9903,-,10268,-,9242,-,10106,-,8041,-,7608,-,7298,-,6702,-,5518,-,4874,-,4395,-,2201,1,2773,1,2445,-,2225,1,1531,-,1601,-
Santo Antônio de Pádua (RJ),7077,-,6618,-,6343,-,6264,-,6526,-,6822,-,6604,-,6679,-,6087,-,6347,-,6346,-,5114,-,4474,-,4318,-,4449,-,3029,-,1815,-,1412,-,1372,-,1565,-,1327,-
Campos dos Goytacazes (RJ),133591,74,133576,66,132216,66,135389,69,141429,69,140569,69,137997,69,106081,67,111799,67,112196,67,114826,64,89367,45,107385,45,89736,22,84280,23,76787,23,55771,23,55877,29,52692,28,56084,38,53961,28
Macaé (RJ),24294,-,26948,-,24127,5,20078,5,24159,5,24099,5,21923,5,19050,5,18204,5,16154,10,14632,10,15058,10,14876,10,14789,8,9027,2,3897,3,1837,4,1960,2,1821,3,1961,3,1586,3
Três Rios (RJ),1185,-,1045,-,1250,-,1117,-,1139,-,1079,-,861,-,834,-,752,-,622,-,613,-,694,-,697,-,609,-,416,-,340,-,345,-,295,-,297,-,254,-,265,-
Cantagalo-Cordeiro (RJ),1648,20,1526,20,1529,20,1535,20,1549,20,1607,20,1540,-,1458,-,1597,-,1294,-,1294,-,1120,-,1209,-,1234,-,362,-,178,-,143,-,155,-,160,-,93,-,168,-
Nova Friburgo (RJ),3361,348,2872,357,2768,355,2798,347,2889,372,3023,398,3010,390,2900,390,2785,390,2635,390,2585,390,2888,362,2745,332,2679,330,2641,364,1479,316,1310,226,1455,229,1439,289,1276,267,1334,261
Santa Maria Madalena (RJ),3987,40,3987,40,3857,40,3486,70,3330,70,3245,70,3235,70,3142,70,3169,70,2739,70,2731,70,2621,70,2418,98,2268,98,1132,97,863,59,649,48,489,40,583,140,530,55,550,80
Bacia de São João (RJ),1001,-,905,-,895,-,922,-,878,-,893,-,844,-,867,-,937,-,1020,-,963,-,1002,-,1043,-,945,-,996,-,524,-,567,-,659,-,643,-,1034,-,1077,-
Lagos (RJ),6356,-,6751,-,6386,4,6386,4,7115,4,6358,4,6345,-,6731,-,6670,-,6553,-,6543,-,6601,-,6563,-,6400,-,6740,-,4871,16,5811,53,6151,39,6916,39,7667,20,6909,1
Vale do Paraíba Fluminense (RJ),2979,-,3116,-,2841,-,2362,-,1945,-,1946,-,1914,-,1794,-,1724,-,1599,-,1771,-,1772,-,1574,-,1513,-,831,2,853,-,826,-,713,-,662,-,539,-,436,-
Barra do Piraí (RJ),2614,-,2517,-,1517,-,1610,-,1437,-,804,-,687,-,675,-,835,-,825,-,845,-,859,-,838,-,654,-,371,-,371,-,170,-,177,-,222,-,149,-,219,-
Baía da Ilha Grande (RJ),313,-,245,-,286,-,279,-,266,-,265,-,243,-,262,-,260,-,260,-,279,-,301,-,301,-,295,-,293,-,173,-,173,-,623,-,142,-,93,-,153,-
Vassouras (RJ),2445,4,2386,3,1507,-,1582,-,1701,-,868,-,914,-,902,-,768,-,773,-,773,-,767,-,769,-,684,-,549,-,636,-,654,-,570,-,472,-,271,-,354,-
Serrana (RJ),351,-,286,-,346,20,362,20,433,20,444,67,471,67,361,67,351,67,371,67,272,67,254,60,248,67,270,40,238,-,261,3,266,3,240,3,217,-,186,-,179,-
Macacu-Caceribu (RJ),1230,161,1149,50,907,115,1067,108,1084,108,1010,108,1021,108,1146,108,1109,108,965,70,1074,70,964,70,1203,70,1317,70,1285,45,1322,47,1561,50,1954,50,1997,150,1568,117,1704,130
Itaguaí (RJ),1101,27,935,28,866,16,832,10,776,5,630,5,590,4,620,3,620,3,622,2,621,-,634,-,636,-,657,-,638,-,464,-,471,-,448,-,469,-,415,-,401,-
Rio de Janeiro (RJ),4450,494,3950,453,4388,473,4532,421,4609,394,4298,390,4375,394,4396,394,4227,387,4302,387,4350,387,4666,387,4899,378,4996,370,3338,127,3584,106,4076,93,4042,89,3583,110,3586,125,3673,187
Jales (SP),25678,-,23109,-,21819,-,25917,-,28589,-,26412,-,23104,-,19737,-,20919,-,36244,-,38094,-,41490,-,46771,-,56845,-,62455,-,66078,2,68008,1,70043,10,71256,10,96524,9,71368,-
Fernandópolis (SP),38615,-,38546,-,34726,-,38989,-,45567,-,40317,-,37950,-,40402,-,43778,-,48168,-,53967,-,41957,-,54896,-,56479,-,63710,-,63599,-,67456,-,71188,-,83173,-,81558,-,82280,-
Votuporanga (SP),29582,-,32742,-,29152,-,31936,-,36587,-,44838,-,45628,-,45930,-,69769,-,88430,-,74500,-,80257,-,77736,-,82081,-,96338,-,96713,-,102107,-,108721,-,112070,-,112292,-,110222,-
São José do Rio Preto (SP),159451,-,174178,-,178345,-,195586,-,204790,-,228783,-,247345,-,285640,-,345704,-,368242,-,421746,-,419760,-,434758,-,476626,-,492223,-,496862,50,525944,119,564491,92,486573,25,488930,27,469755,56
Catanduva (SP),81647,10,88570,15,89739,15,93837,14,99735,19,106506,34,109542,-,113078,15,121030,19,126297,39,132187,49,130669,44,137569,74,145381,115,146007,276,145164,315,138756,427,132024,448,132850,303,133326,246,133188,240
Auriflama (SP),29559,-,20663,-,20230,-,22432,-,27229,-,28911,-,26771,-,33230,-,29490,-,40545,-,53703,-,54326,-,62677,-,64486,-,55192,-,49976,-,46065,-,62265,-,62042,-,67934,-,63821,-
Nhandeara (SP),17958,-,15914,-,17135,-,26026,-,32994,-,37300,-,52572,-,56710,-,66803,-,87616,-,91063,-,73095,-,81381,-,84709,-,92586,-,89627,-,84665,-,78819,-,77781,-,76087,-,76048,-
Novo Horizonte (SP),39749,-,58122,-,64641,-,66367,-,66741,-,76878,-,74390,-,85994,-,100920,-,101635,-,105783,-,110466,-,112642,-,115556,-,118223,15,116846,15,118186,21,110906,21,122057,6,121111,6,125174,6
Barretos (SP),104065,-,111012,-,105885,-,116567,-,123551,-,129942,-,134326,-,121135,-,139580,-,128484,1,131594,-,130088,-,132368,-,133552,-,140019,-,144852,-,143182,-,146320,-,144912,-,147765,-,148210,-
São Joaquim da Barra (SP),507741,-,487639,-,456668,-,475989,-,499940,-,484691,-,497874,-,471745,-,516087,-,486888,-,446078,-,448564,-,466785,-,464710,-,454325,-,459654,-,461905,-,455056,-,452412,-,457892,-,459861,-
Ituverava (SP),146915,-,144994,-,137017,-,137662,-,143637,-,150939,-,152406,-,146158,-,142038,-,158882,-,141004,-,140011,-,147762,-,145107,-,141081,-,140726,-,142937,-,147060,-,146867,-,142406,-,142302,-
Franca (SP),63622,-,60972,-,60833,-,61989,-,68620,-,70892,-,73763,-,74561,-,83568,-,77596,-,81287,-,77565,-,77146,-,84768,-,85432,-,87323,-,88627,-,83477,-,89087,-,87968,-,85304,-
Jaboticabal (SP),219213,40,240946,40,230326,30,233782,20,240183,20,246002,104,250839,-,257193,105,265618,90,269782,62,260235,82,287992,61,285409,61,286298,61,310276,101,308156,127,312297,138,323647,156,327782,144,315541,129,317613,174
Ribeirão Preto (SP),317643,-,310091,-,304944,-,308286,-,311531,-,313041,-,311313,-,317919,-,352942,-,344048,-,342206,-,344725,-,342777,-,341503,-,340507,-,345928,-,342667,-,361685,-,359986,-,364474,-,364985,-
Batatais (SP),90367,-,84159,-,83892,-,83295,-,83167,-,89492,-,95647,-,101367,-,100753,-,115893,-,118310,-,120320,-,102426,-,108929,-,116396,-,123731,-,125095,-,124228,-,111277,-,117169,-,118383,-
Andradina (SP),57040,-,45378,-,53764,-,77473,-,104036,-,90531,-,96286,-,108488,-,152888,-,182750,-,187010,-,190680,-,206137,-,195759,-,210860,-,207963,80,217111,24,229850,25,224771,25,256569,-,255059,-
Araçatuba (SP),121418,-,129855,-,127234,-,142037,-,141000,-,165107,-,184592,-,191275,-,216175,-,218374,-,221485,-,216809,-,222429,-,195742,-,196910,-,210283,-,207700,-,208397,-,228817,-,250532,-,237193,-
Birigui (SP),99397,-,97372,-,115152,-,143915,-,159247,10,144304,36,150128,39,150233,167,176067,246,163328,230,223005,365,224360,591,207883,663,208182,950,207051,1172,175687,1643,194581,2547,195791,2678,214123,2514,243149,3030,227052,2265
Lins (SP),55379,-,57954,-,51728,-,58908,-,54215,-,48638,-,68512,-,64055,-,74650,-,90600,-,146158,-,140087,-,40702,-,140600,-,145300,-,134330,-,133739,30,137038,97,146790,88,141156,194,136461,198
Bauru (SP),83498,37,78616,56,83539,29,84554,20,82476,10,84799,10,100541,10,113474,10,138029,146,160284,141,156924,120,151336,110,146373,5,165834,5,159441,-,154416,-,169727,152,168276,41,173488,47,172847,47,187042,117
Jaú (SP),179778,-,190995,-,189135,-,197471,-,202389,-,201914,-,199354,-,208093,-,228554,-,244654,-,222752,-,227511,-,232670,-,233179,-,229861,-,241001,-,235809,-,234950,-,235135,-,232339,-,239035,-
Avaré (SP),78213,-,88405,-,83128,-,104146,-,104222,-,118853,-,130485,-,122988,-,131850,-,134334,-,135592,-,129487,-,143730,-,152015,-,141640,-,161085,-,179267,-,181656,-,197417,-,243995,-,240497,-
Botucatu (SP),48145,-,51006,-,53546,-,59042,-,62873,85,62296,10,63419,-,70002,24,70352,-,78904,-,72143,-,72777,-,73362,-,75767,-,80557,-,83466,-,83824,3,91064,3,97423,3,97889,3,97630,3
Araraquara (SP),201666,-,190682,-,193269,-,207555,-,213592,-,217984,-,213568,-,244312,-,292446,-,258358,-,233467,-,282091,-,294844,-,302022,-,307692,-,304263,23,323863,13,360155,33,318130,33,318622,174,325999,189
São Carlos (SP),73589,-,74062,-,67486,-,92853,-,92211,-,93492,-,88080,-,87915,-,93763,-,121861,-,115763,-,117143,-,111159,-,112708,-,122607,-,125976,-,127268,-,136666,-,118301,-,118651,-,124283,-
Rio Claro (SP),43370,-,46071,-,40823,-,41735,-,44740,-,47294,-,49138,-,45041,-,82560,-,65838,-,58963,-,62023,-,64362,-,70444,-,67230,-,71854,-,75356,90,75505,90,79371,-,79290,-,79805,-
Limeira (SP),104956,-,104399,-,118767,-,108246,-,107523,-,108084,-,113773,-,110706,-,110963,-,104000,-,109756,-,105450,-,105274,-,113414,-,80828,-,111744,-,110909,-,114422,-,113212,-,116092,-,122984,-
Piracicaba (SP),131903,34,133637,88,130334,83,133440,84,138243,6,131416,20,128523,2,156492,3,150315,3,172370,3,175916,3,170530,4,164560,6,164970,3,160507,-,159421,1,159613,69,159355,69,157379,69,155368,68,153425,68
Pirassununga (SP),69606,-,63134,-,80283,-,73541,-,83456,-,81038,-,82778,-,72612,-,82703,-,76132,-,80320,-,76415,-,84191,-,85312,-,86734,-,86423,-,81343,-,87647,-,85300,-,87931,-,85055,-
São João da Boa Vista (SP),126928,-,129994,-,135410,-,156916,-,159693,2,170008,2,173477,-,168399,2,175091,2,168800,-,155235,-,160378,-,171794,-,165075,-,166850,-,161720,31,160781,94,161740,96,148555,97,137078,102,143392,102
Mogi Mirim (SP),58146,-,68671,-,57484,8,64054,38,66878,2,64828,-,63140,-,54590,-,62774,-,64111,-,56594,-,56058,-,58202,-,59399,13,55544,18,58906,30,58434,30,58682,30,52576,30,61387,35,58979,35
Campinas (SP),53094,7,59605,9,78462,7,74132,7,70580,30,69055,5,73441,55,72435,55,72446,132,64870,14,36883,-,68569,-,59672,10,65353,25,65359,22,67087,30,60991,70,66716,68,60587,83,57609,79,53377,31
Amparo (SP),12603,-,12282,-,12400,-,12752,-,12651,-,12561,-,11552,-,11897,-,11826,-,11820,-,11095,-,10560,-,10521,-,10554,-,9814,-,10061,-,9759,10,10892,16,10333,16,10723,11,10843,11
Dracena (SP),12958,128,15613,137,13863,305,14316,345,22887,355,28082,222,24479,50,37421,-,55503,0,55018,-,86853,-,88075,-,98768,-,104379,-,108001,-,104678,-,98773,4,105316,17,107260,17,111929,37,104575,32
Adamantina (SP),50012,62,52349,18,65608,42,62638,32,72938,6,72032,-,88711,-,86903,-,100366,-,106764,-,108103,-,107071,-,100034,222,101005,300,99578,215,99706,142,96263,211,100919,448,92337,218,100966,413,92873,410
Presidente Prudente (SP),133764,1810,119775,2615,149809,2341,189853,2047,236071,2322,271962,2143,250519,2389,208249,2400,254523,2420,274218,2170,299192,685,342907,1870,402894,1595,423733,1771,466684,1775,463952,1887,458528,2256,441432,1661,404007,3131,414157,3094,467896,4521
Tupã (SP),24769,-,31237,-,30330,-,29285,-,31019,-,31524,-,29545,-,35390,-,53980,-,51486,-,33009,-,58797,-,62564,40,53740,-,76533,42,75606,180,91950,180,84685,216,77142,96,70551,-,73753,723
Marília (SP),19425,12,17052,5,19327,2,22752,50,26468,-,34458,-,29146,-,31752,5,37885,5,29397,-,45224,-,48362,-,49252,4,59619,2,59553,31,64753,45,65168,20,67575,51,65140,38,66439,33,64787,11
Assis (SP),479338,-,480206,-,501309,-,481523,-,509427,-,512527,-,515534,-,496592,-,570838,-,526929,-,532360,-,557315,-,540816,-,542494,97,571236,224,589562,524,575762,630,582237,702,593269,330,591818,307,586641,315
Ourinhos (SP),139170,-,154869,-,148801,-,167314,-,160397,-,166745,-,193266,-,172521,-,188877,-,192966,-,199863,-,200185,-,216731,-,229175,-,231829,-,276814,-,279047,-,293534,-,280475,-,298457,-,302311,-
Itapeva (SP),152364,-,207797,-,232496,-,226648,-,233051,-,264308,-,297269,-,279811,-,330152,-,328275,-,312636,-,304652,-,352463,-,307171,8,377961,58,400690,141,458424,171,464973,215,440099,215,463956,234,470578,219
Itapetininga (SP),45635,-,55069,-,52103,-,53340,-,62062,-,65570,-,68500,-,61724,-,66816,-,71878,-,75206,-,76505,-,75379,-,83439,-,84377,-,88428,-,97691,-,92378,-,86482,-,89067,-,89176,-
Tatuí (SP),43530,50,42620,50,38583,35,42759,60,46776,60,53988,119,51785,60,42318,60,52601,50,53322,37,49571,50,50389,50,32484,50,51576,20,44852,-,57050,-,52000,-,64012,-,65657,2,57471,2,63925,2
Capão Bonito (SP),31081,-,36105,-,36823,-,43220,-,41328,-,42395,-,47914,-,46368,-,55114,-,53565,-,50765,2,49747,-,50748,-,46988,11,67666,29,70573,71,75686,80,81873,152,80976,152,78236,138,77722,138
Piedade (SP),24148,550,22172,580,20944,600,29074,600,23663,600,28608,610,28147,400,29484,-,25761,181,22936,105,26517,455,28634,5,22341,3,33377,403,34106,403,44591,1003,45852,843,47646,843,47946,843,50607,243,48312,243
Sorocaba (SP),30265,-,37927,-,37163,-,37444,24,38088,24,40176,24,37656,-,39458,3,39109,-,37352,10,33224,12,36486,1,30789,-,35394,-,34510,5,36794,8,35911,6,36439,6,35458,12,41158,9,40480,9
Jundiaí (SP),2515,-,2284,-,2501,-,2476,-,2475,-,2489,-,2501,-,2492,-,2526,-,2375,-,2490,-,2301,-,2300,-,2364,-,2120,-,1435,-,1524,-,1572,-,915,-,577,-,569,-
Bragança Paulista (SP),11685,43,11476,43,11218,10,11964,10,12000,10,11154,10,14239,-,11226,10,13266,-,12843,-,14299,-,14019,-,12149,2,13475,2,12432,3,12965,3,13218,3,14326,3,14591,4,14796,4,15211,4
Campos do Jordão (SP),826,-,789,-,742,-,155,-,763,-,862,-,881,-,859,-,846,-,828,-,744,-,708,-,944,50,418,50,298,50,301,44,341,45,298,44,308,44,182,14,189,18
São José dos Campos (SP),16428,-,12554,-,18038,-,17075,-,16513,-,15787,-,15412,-,15040,-,14281,-,5535,-,12191,-,13322,-,9556,-,11077,-,7924,-,6962,-,7738,-,8295,-,8674,-,8260,-,9390,-
Guaratinguetá (SP),5156,49,5733,34,4348,19,6693,19,5850,23,6086,9,6357,3,6590,3,5432,3,5231,3,5204,2,6033,2,12609,2,6204,2,6198,2,6308,2,5878,2,5069,2,5229,2,5470,2,5744,2
Bananal (SP),1582,-,1573,-,1595,-,1620,-,1643,-,1655,-,1631,-,1240,-,1506,-,1300,-,952,-,941,-,881,-,968,-,931,-,931,-,842,-,831,-,851,-,499,-,725,-
Paraibuna/Paraitinga (SP),10539,-,8364,-,7986,-,8089,-,7697,-,7290,-,7628,-,7551,1,6232,-,6423,-,7034,-,3246,-,6921,-,3864,-,3857,2,4091,2,4203,-,4318,1,2125,-,1786,-,1727,-
Caraguatatuba (SP),108,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10,-,65,-,...,...,22,-,68,-,57,-,59,-,42,-,46,-
Registro (SP),4396,-,4318,-,3904,-,2361,-,2762,-,1832,-,1691,-,1793,-,2493,-,2314,-,2524,-,2634,-,2216,-,2172,-,2164,-,2219,-,3385,13,3278,13,4528,21,4323,20,4244,20
Itanhaém (SP),583,-,15,-,45,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,60,-,60,-,256,2,126,-,127,5,173,5,142,6,124,6,122,-
Osasco (SP),22,-,80,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,...,...,...,...,...,...,...,...,5,3,1,-,1,-
Franco da Rocha (SP),466,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9,-,9,-,21,-,21,-,21,-
Guarulhos (SP),484,-,50,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,80,-,72,-,80,-,20,-,20,-,10,-,8,-,8,-,10,-,15,-,15,-,14,-
Itapecerica da Serra (SP),410,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,-,...,...,-,-,7,-,7,-,7,-
São Paulo (SP),632,20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10,-,30,-,41,-,36,3,36,-,36,-,36,-,36,-
Mogi das Cruzes (SP),3346,94,2368,94,2087,94,2256,136,2106,136,1770,136,1856,136,1223,136,1801,136,1727,66,1546,66,1756,66,1192,25,1070,26,1030,26,1157,46,853,31,713,31,546,21,561,26,562,23
Santos (SP),2,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,...,...,...,...,...,...,...,...,...,...,2,-,...,...,...,...,3,-,3,-,...,...
Paranavaí (PR),127852,4,128434,2,132153,2,164845,1,208111,6,201314,5,200362,4,181951,1,209382,2,215752,2,234179,3,254202,8,244198,14,247094,17,261554,40,245095,43,274674,46,296189,50,293770,55,300757,21,293481,-
Umuarama (PR),134393,43,158241,-,167641,37,228069,35,278351,6,275697,-,256492,-,260518,1,278634,-,276887,-,299889,2,301445,-,307912,-,335032,-,339543,-,326408,5,345468,5,371687,10,378633,-,378001,-,396120,65
Cianorte (PR),128770,10,128596,3,136181,2,157636,2,175153,-,174948,-,181626,-,189863,2,194746,2,188643,-,195208,7,194731,9,195998,7,203662,7,198384,-,205117,10,206745,16,206577,26,210780,26,215411,23,221954,23
