"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Valor da produção (Mil Reais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Rio Preto da Eva (AM),30932,-,34753,-,35086,-,35149,-,33564,-,72291,-,72291,-,72219,-,46929,-,46870,-,64439,38,71924,58,108293,32,130838,26,150583,-,146975,-,98754,-,70699,-,80715,-,77188,-,76494,-
Itacoatiara (AM),19394,0,32111,-,20513,-,20556,-,19965,-,31419,-,28775,-,51882,-,76172,-,65389,-,83385,176,124525,256,125896,134,129028,245,101488,32,142049,56,243902,564,155964,261,140051,-,127558,-,146715,25
Parintins (AM),15733,0,15482,0,15556,0,11651,2,12419,6,28982,-,36645,-,34528,-,28521,-,28933,-,71381,131,79479,218,72408,106,90494,115,83867,149,46333,171,44546,-,38742,16,39532,-,62235,-,86454,-
Boca do Acre (AM),3345,0,3592,-,3487,-,3465,-,2728,-,3794,-,6254,-,6481,-,3489,-,3195,-,9377,192,14141,202,13993,84,9859,66,25961,273,21536,-,14798,-,16840,86,13366,102,14614,96,15388,92
Purus (AM),4536,2,6132,2,5806,2,5280,2,4778,3,11359,3,16333,2,21586,90,64271,36,64822,45,43378,238,43677,409,80854,200,82947,318,51781,118,46351,128,49332,300,66471,300,39680,195,39412,250,56637,382
Madeira (AM),27487,0,31372,0,30707,0,36765,2,25965,3,54871,2,50115,2,19455,0,39629,-,38394,-,77143,290,99222,493,115624,382,108193,222,110146,72,108961,72,118872,72,132812,72,138028,75,140433,60,171761,109
Boa Vista (RR),21417,-,20471,-,30055,-,43115,-,61695,-,43641,-,38909,-,35180,-,45611,-,31623,-,34332,-,43552,-,51867,-,87087,-,73941,80,104649,80,123482,216,124743,2390,121877,1525,131117,1664,287538,1501
Nordeste de Roraima (RR),16518,-,18224,-,26794,-,39477,-,55487,-,46985,-,50483,-,49771,-,62819,-,47289,-,51248,-,66013,-,89136,-,109532,-,106441,1500,187534,2100,189298,2088,183288,2312,141423,300,193710,4230,313757,3728
Caracaraí (RR),7009,-,8074,-,10891,-,15622,-,19072,-,18655,-,19287,-,18438,-,20172,-,20892,-,22630,-,26318,-,22497,-,22217,-,13417,-,12589,-,16746,-,32387,-,28726,-,14810,-,20948,-
Sudeste de Roraima (RR),5480,-,6384,-,8482,-,10699,-,11603,-,11036,-,11148,-,10941,-,11997,-,12928,-,14437,-,17888,-,19118,-,52014,150,37497,150,47661,635,35860,877,43228,928,12879,260,19010,432,19502,405
Óbidos (PA),33785,35,35067,43,47524,84,59600,-,57829,-,42772,-,46962,-,49617,-,56835,-,72762,-,166708,-,80528,-,105713,-,347761,-,232981,-,129446,-,171415,-,177535,-,151504,-,281148,-,280293,-
Santarém (PA),42781,19,62092,22,106721,9,250387,-,269603,-,240792,-,241093,-,251742,-,325012,5,314864,3,392697,-,374662,-,398707,-,611546,-,618027,-,402312,-,521017,-,525982,-,365499,-,371720,-,517321,-
Almeirim (PA),1502,-,1162,-,1836,-,1574,-,1763,-,1838,-,1944,-,2706,-,2812,-,3422,-,2857,-,4076,-,4599,-,9000,-,9047,-,8092,-,6587,-,8114,-,8541,-,8643,-,10234,-
Portel (PA),1554,-,1420,-,1471,-,1489,-,1723,-,2160,-,2140,-,2089,-,2219,-,2316,-,3270,-,4195,-,16112,-,18503,-,11134,-,11565,-,91867,-,48647,-,172973,-,123017,-,147488,-
Furos de Breves (PA),1206,-,1295,-,1162,-,2022,-,1678,-,1940,-,2228,-,2103,-,1696,-,1897,-,3681,-,5018,-,3719,-,3455,-,1394,-,2190,-,2913,-,5286,-,13969,-,7930,-,7395,-
Arari (PA),1987,-,1942,-,2383,-,2468,-,3297,-,3398,-,3833,-,4850,-,4434,-,7131,-,9846,-,11020,-,16919,-,31362,-,32709,-,35851,-,42099,-,24435,-,32749,-,50145,-,55387,-
Belém (PA),1190,1,977,0,935,-,857,-,914,-,1334,-,1978,-,3427,-,3284,-,3579,-,4475,-,5450,-,7279,-,8089,-,6331,-,6017,-,7053,-,10587,-,11962,-,7008,-,32106,-
Castanhal (PA),6031,-,7726,-,11875,-,17701,-,25481,-,32457,-,42499,-,29309,-,33846,-,23525,-,36029,-,28718,-,28594,-,57094,-,36987,-,43371,-,61191,-,44826,-,65955,-,65083,-,60397,-
Salgado (PA),8525,-,8685,-,9772,-,12892,-,20739,-,21786,-,22614,-,30865,-,20471,-,18414,-,23953,-,25537,-,30894,-,54936,-,34191,-,24475,-,44922,-,34362,-,53643,-,37289,-,36284,-
Bragantina (PA),17360,-,25773,-,41974,-,53201,-,64272,-,57700,-,65614,-,81410,-,98590,-,71694,-,102731,-,118643,-,146638,-,316594,-,188821,-,140272,-,203981,75,181369,71,203927,-,144527,-,233485,-
Cametá (PA),7615,0,8704,0,5402,-,9514,-,10181,-,15518,-,19682,-,25666,-,19352,-,23304,-,32410,-,38039,-,56902,-,59760,-,57534,-,67192,-,142116,-,110137,-,88680,-,171929,-,345201,-
Tomé-Açu (PA),24760,-,33046,-,43254,-,75718,-,71242,-,100243,-,111020,-,160214,-,125674,-,138980,-,119894,-,141609,-,157748,-,306962,-,144705,-,142675,-,240843,-,259388,-,331881,-,234744,-,391145,-
Guamá (PA),36259,-,49444,-,75515,-,92574,-,116529,-,121245,-,119165,-,141035,-,139014,-,142854,-,198398,-,220239,-,220611,-,325259,-,236611,-,162008,-,305205,-,257120,-,187886,-,197396,-,300359,-
Itaituba (PA),19747,307,20709,252,35609,257,47938,-,60466,-,54981,75,57166,75,71857,75,74581,75,83744,131,110190,112,93519,125,99737,160,136700,155,163259,350,136686,365,230646,313,257324,281,122941,250,157019,235,168422,200
Altamira (PA),46616,-,51762,-,57526,-,58511,-,61101,-,65035,-,64098,-,69686,-,71670,-,67743,-,77819,-,91797,-,97773,-,119437,-,117257,-,127643,-,117858,-,132615,-,112148,-,171496,-,205469,-
Tucuruí (PA),23471,-,22342,-,18196,-,37119,15,43324,15,48418,15,47320,-,46429,-,47953,-,53728,-,48787,-,54750,-,76279,-,101047,-,90095,-,90153,-,112778,-,110529,-,61548,-,50027,-,52445,-
Paragominas (PA),90397,-,85941,-,124103,-,147431,-,205449,-,161865,-,154657,-,167441,-,226940,-,297625,-,255845,-,345700,-,464973,-,573072,-,615257,-,863811,-,1369142,-,1236854,-,1406523,-,1333983,-,1970137,73
São Félix do Xingu (PA),82038,-,53100,-,48868,-,62487,-,39029,-,23347,-,24113,-,25595,-,33436,-,30177,-,93052,-,51932,-,46981,-,64804,-,72050,-,105121,-,202220,-,134332,-,85791,-,105409,-,317442,-
Parauapebas (PA),17859,-,21955,-,22109,-,31292,-,30377,-,30332,-,34476,-,31102,-,29381,-,33902,-,28790,-,50865,-,48614,-,96965,-,112526,-,89481,-,110587,-,144785,-,131247,-,141949,-,155474,-
Marabá (PA),9488,-,12907,-,15993,-,17913,-,22857,-,22299,-,25037,-,19570,-,28570,-,28975,-,27218,-,36763,-,43395,-,51289,-,59329,-,64020,-,68079,-,105940,-,80807,-,100239,-,105488,-
Redenção (PA),41871,-,38795,-,37242,-,56942,-,49566,-,39051,-,31945,-,33025,-,45395,-,37901,-,39300,-,57261,-,46990,-,62468,-,62635,-,90147,-,112594,-,95411,-,101799,-,83732,-,147768,-
Conceição do Araguaia (PA),73832,-,94040,-,61481,-,150696,-,161325,-,194901,-,149983,-,166665,-,146676,-,173255,-,175441,-,225319,-,281465,-,372523,-,425131,-,607642,-,627673,-,555185,-,914456,-,758326,-,1092514,-
Oiapoque (AP),2938,-,5358,-,8306,-,5865,-,9120,-,11109,-,13728,-,20891,-,19407,-,15212,-,18203,-,28198,-,28905,-,20708,-,24939,-,22644,-,24027,-,27838,-,18617,-,18712,-,17875,-
Amapá (AP),2849,-,5033,-,8380,-,4349,-,6273,-,7727,-,10138,-,11882,-,14306,-,14235,-,16899,-,16861,-,18296,-,13858,-,18785,-,19161,-,18719,-,21541,-,29226,-,32074,-,29763,-
Macapá (AP),11054,-,12180,-,20159,-,12431,-,17984,-,21320,-,29427,-,43286,-,44196,-,36143,-,44551,-,47343,-,50734,-,47888,-,85063,-,75755,-,84041,-,99151,-,73723,-,71344,-,69416,-
Mazagão (AP),4709,4,5556,-,8807,-,5845,-,8450,-,9341,-,13845,-,18451,-,19842,-,16447,-,19875,-,22369,-,22783,-,16891,-,21283,-,24014,-,22070,-,24769,-,17908,-,18850,-,18510,-
