"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Valor da produção (Mil Reais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Itabira (MG),9883,-,10267,-,14035,-,16094,-,17840,-,17600,-,13545,-,20054,-,25386,-,21041,-,20615,-,27884,-,26030,-,28927,-,27244,-,27878,-,26378,-,23099,-,23339,-,22675,-,25523,36
Itaguara (MG),8630,1276,7383,1043,7438,1096,10504,963,12689,1513,16162,1408,14272,1389,22253,794,26197,958,20908,1034,22567,2309,32040,2403,39480,2526,35289,1402,39610,1503,31946,1376,40836,4322,34334,2809,36843,3844,32443,3689,36317,4444
Ouro Preto (MG),4794,-,4440,-,6788,-,10019,-,8632,-,8009,-,9707,-,16406,-,17281,-,19411,-,20121,-,19603,-,22678,-,25565,-,19776,-,19712,-,23622,-,2883,8,3311,8,3975,9,5612,7
Conselheiro Lafaiete (MG),19729,7,28851,8,28768,-,36592,-,36762,-,26072,-,33446,-,47743,-,55139,135,37248,123,39159,998,46495,2800,45451,1600,52783,500,40682,2214,46782,790,72914,2250,36127,-,38894,-,51733,2365,73411,4262
Guanhães (MG),12710,5,9695,5,18891,-,20087,6,20706,14,22324,15,15595,18,26160,18,28373,23,25836,23,26955,22,28332,23,33404,20,38474,-,33848,-,44701,-,47106,-,13934,6,20832,8,17870,7,24672,1494
Peçanha (MG),17494,4,12376,2,28244,2,25063,3,25822,3,31127,5,20455,5,38928,7,42089,5,42419,7,34162,1,44147,15,42613,8,45723,12,37328,-,39454,-,36419,-,16936,6,17838,8,16100,10,24360,12
Governador Valadares (MG),16781,-,11785,-,23455,-,28834,9,28922,69,24390,216,21115,218,26617,218,31645,282,25331,282,28457,281,28200,306,26815,174,27868,81,29601,120,30915,140,24877,37,15704,105,17968,38,18726,58,25166,118
Mantena (MG),3835,-,3171,-,7340,-,5159,-,4645,-,6657,-,5738,-,9052,-,10574,-,10345,-,14411,-,12377,-,12627,-,13538,-,15019,-,11971,-,10714,-,2240,-,3451,-,3038,-,4572,-
Ipatinga (MG),4238,-,3486,-,5203,-,10657,-,9646,-,6410,-,5197,-,5544,-,4906,-,4735,-,5011,-,6289,-,9884,-,11729,-,11405,-,13528,-,16389,-,4571,-,5393,-,6567,-,8120,-
Caratinga (MG),27486,244,23659,178,25037,130,37220,241,46881,304,56676,476,45526,535,36756,832,78492,813,54170,696,59084,600,54850,953,57597,1098,60951,906,74884,831,80979,929,96054,1019,39120,1034,46889,1143,52627,906,61585,1345
Aimorés (MG),25658,38,24642,45,35159,30,46577,60,46008,74,44785,108,29210,146,40883,173,54694,244,47829,241,33614,292,50368,388,56112,459,42888,549,58189,746,29156,666,37319,527,30559,565,21057,-,22858,-,28001,-
Piuí (MG),27331,-,24582,-,42181,-,62806,-,76010,-,85824,-,75219,-,159471,-,187043,-,161889,-,162297,-,195808,-,211711,-,309884,-,242898,-,254219,-,414680,-,249403,576,310730,675,391305,256,477356,35
Divinópolis (MG),10306,4,10492,4,13585,4,17217,-,24395,6,26819,38,18431,4,29503,-,35348,-,28517,-,28187,-,36253,-,43383,-,45746,-,46095,-,42629,-,45063,-,17600,6,20238,8,20854,7,29083,18
Formiga (MG),30006,-,23926,-,38464,-,50157,-,54224,-,52981,-,55386,-,70103,-,83600,-,70426,-,93648,-,116285,-,108767,-,141145,-,115405,-,180744,-,233635,-,155131,13,189217,2808,235522,6074,293829,6011
Campo Belo (MG),12507,-,11842,-,17479,-,25391,-,25197,-,30476,-,31239,-,35099,-,34762,-,30038,-,35604,-,47095,-,53276,-,54303,-,34706,-,44652,-,93737,-,66068,23,59529,-,81917,-,114508,-
Oliveira (MG),18214,-,15139,-,38106,-,44816,-,45506,2,50549,26,38660,1,50808,9,53220,101,48633,119,46205,119,61247,119,74653,240,80441,-,83901,-,88192,105,85025,126,66043,25,78648,38,69742,35,83021,18
Passos (MG),46983,-,62361,-,72520,-,113444,-,135866,-,134402,-,125580,-,143204,-,175170,-,164031,-,191356,-,287492,-,244161,-,261544,-,255099,-,249696,-,358328,-,376711,-,383447,-,432372,-,536266,-
São Sebastião do Paraíso (MG),42231,-,38387,-,46823,-,79605,-,100630,-,105417,-,94990,-,106426,-,122763,-,118915,-,146048,-,249665,-,242090,-,223974,-,189978,-,217434,-,341722,-,165273,7,163174,14,176948,17,210204,-
Alfenas (MG),73570,36,80233,48,94379,-,112683,-,117195,431,128770,420,112108,338,152737,283,161723,399,124319,360,152712,480,182536,240,206713,461,272473,173,178159,141,213905,779,349469,1015,275179,686,358859,1087,398655,1433,448416,1293
Varginha (MG),55492,16,55790,-,71826,-,138737,-,130638,-,133503,-,127775,-,144595,-,158874,-,140088,-,147201,-,189048,-,230053,-,269153,-,177983,-,210667,-,364291,75,289015,20,319768,16,445149,12,533056,-
Poços de Caldas (MG),52388,333,88314,808,101216,1875,112952,2499,102364,1088,132208,1405,116063,2018,113855,2484,123336,3682,130692,4109,155194,4833,143588,4967,141847,4520,232171,7128,167553,6858,184707,6112,289616,5700,82048,1044,109283,2636,158741,8573,163961,4125
Pouso Alegre (MG),99008,85,127709,85,136290,58,130181,75,141818,180,168045,149,164775,162,181145,73,203608,68,331198,73,381704,355,256233,456,242713,587,493140,498,317669,270,352372,585,563289,780,145682,790,221872,774,299272,1333,352357,1327
Santa Rita do Sapucaí (MG),45341,54,38147,15,53416,13,52668,13,71907,16,80734,11,83905,-,81604,-,102282,-,84456,-,112422,-,134729,-,128203,-,191337,-,138609,-,133809,111,202653,532,200871,1455,212440,7234,190231,4942,197197,5434
São Lourenço (MG),10953,-,13895,-,17115,-,32379,-,33737,-,39595,-,34231,-,40829,-,32327,-,35744,-,44844,-,44610,-,48886,-,52556,-,42530,-,52522,24,84249,-,71093,-,68110,-,89549,-,122389,-
Andrelândia (MG),12839,-,12985,-,21108,-,37553,-,44231,-,43889,-,21674,-,31837,-,37493,-,37644,-,33955,-,49051,-,58378,-,59577,-,44771,-,66118,-,105687,-,72735,7,88929,381,111263,336,169254,324
Itajubá (MG),30707,265,49452,227,38476,160,51597,333,60625,392,68614,278,54013,340,75762,361,79293,286,102555,351,92852,381,75080,453,82155,487,105629,443,89551,-,93872,355,119257,442,36427,90,66314,39,69690,34,62473,9
Lavras (MG),19348,24,15838,20,33355,10,29625,25,43167,29,48240,29,43132,29,48579,29,49380,62,46473,52,38005,-,56674,-,50713,-,73934,-,84070,-,80366,-,125160,25,116680,343,120030,452,248784,2002,225629,3497
São João Del Rei (MG),15443,1,17463,1,23347,2,52360,-,67477,-,61539,-,53491,-,71249,-,95680,-,89701,-,74205,1158,105845,1478,131840,1318,189608,2673,169158,3600,182409,2028,365288,3120,250407,437,290360,6983,449839,6107,552858,4990
Barbacena (MG),23741,15,29875,-,48941,-,42345,-,71801,-,67702,152,55369,190,74697,190,75716,190,77147,190,75645,190,83501,380,119397,504,123533,403,115265,510,117995,2054,174837,1330,104495,270,99398,181,126322,174,164262,298
Ponte Nova (MG),34847,-,36497,-,42813,-,61857,-,60360,-,66051,-,59896,-,64480,-,61852,-,61919,-,73542,-,129212,-,142295,-,123412,-,99886,-,81880,-,97545,-,82517,36,85609,-,90518,-,106446,-
Manhuaçu (MG),12422,15,12724,15,18583,25,37177,6,36701,-,44348,-,14960,-,28059,18,37833,6,35981,12,44489,8,40175,8,44431,9,48512,8,39713,-,47598,74,53523,13,17053,63,22029,49,26109,42,35587,28
Viçosa (MG),37403,6,39198,2,61282,-,63364,-,58625,-,69767,-,58725,-,66382,-,80649,-,63915,-,64789,-,80245,-,85040,-,100367,-,81550,-,91877,-,122536,-,87435,-,79589,-,88636,-,120660,-
Muriaé (MG),12876,13,15547,17,12230,-,20173,-,22653,-,22320,-,20886,-,25167,-,34958,-,30167,-,27153,-,26966,-,27206,-,32472,-,26632,-,26014,50,32290,56,13272,14,18313,14,22180,19,29343,15
Ubá (MG),21254,-,21200,-,26203,-,33509,-,33548,6,36184,8,28319,4,35574,2,44498,11,37884,7,34558,6,32061,8,35668,54,37856,-,42717,-,33249,42,35058,74,22626,46,27263,55,34672,68,34777,11
Juiz de Fora (MG),16282,-,14184,-,19990,-,23279,-,20159,-,20941,-,14638,-,19092,-,19850,-,18803,-,16516,-,20355,9,23138,-,25856,14,22687,-,22292,41,22376,46,13061,17,13481,20,17772,19,18279,44
Cataguases (MG),6873,12,6268,18,6239,6,9164,-,11771,-,13969,-,11012,-,12052,-,11636,-,10399,-,9053,-,13326,-,14353,-,11871,-,9880,-,10415,-,10421,-,6955,-,6811,-,6398,-,7442,-
Barra de São Francisco (ES),3197,-,3300,-,4156,-,4867,-,7014,-,6789,-,4482,-,4310,-,6041,-,3201,-,3121,-,3708,13,4291,17,4490,20,3255,20,3246,26,3521,18,7942,599,7537,599,8000,428,7359,417
Nova Venécia (ES),5157,-,7557,-,10911,-,10799,-,12553,-,13008,-,9684,-,13102,-,11959,-,10243,-,17453,-,13455,-,14444,-,15751,-,10593,-,7034,-,4155,-,9427,-,6298,-,5505,-,6524,-
Colatina (ES),6692,-,7254,-,8902,-,6664,-,7556,-,7762,-,5814,-,6489,-,8573,-,5302,-,4220,-,6745,-,7252,-,7551,-,7101,-,5691,-,6786,-,7782,-,7210,-,8363,-,12620,98
Montanha (ES),10597,-,9967,-,20392,-,28363,-,31715,-,27668,-,19186,-,35778,-,36426,-,38722,-,83451,-,81348,-,70334,-,52392,-,43772,-,35602,18,38031,40,37258,74,41721,58,30937,94,46312,102
São Mateus (ES),23620,-,24502,-,37531,-,42546,-,37202,-,45409,-,32671,-,44736,-,34770,-,42199,-,78872,-,92023,14,71856,-,75441,-,57724,-,44985,-,36375,-,36848,-,39580,-,47755,-,59915,-
Linhares (ES),12881,-,21564,-,31256,-,47922,-,43558,-,44078,-,40408,-,55248,-,48325,-,42736,-,65275,-,61899,-,48013,-,50986,-,66624,-,52132,-,57100,-,56985,-,52508,-,50072,-,63930,-
Afonso Cláudio (ES),33793,180,34817,180,50780,200,58239,180,59537,126,63419,112,69167,128,51692,36,66752,22,52645,22,58501,35,77643,101,80989,158,129099,1545,128277,336,89796,158,133728,431,105396,307,138913,377,170311,379,138058,447
Santa Teresa (ES),34704,1321,31420,1244,40194,292,45986,900,51526,949,57741,1032,57424,1560,45179,2620,58577,2340,53676,2340,63853,1691,87220,-,97127,-,103543,-,102920,2688,104610,2913,146314,6026,99892,4665,106281,6199,135597,6975,160056,9376
Vitória (ES),1173,63,938,60,1529,13,2219,14,1984,14,2472,14,2637,-,3209,-,2240,-,1961,-,2163,-,3038,-,2407,-,2565,-,2765,-,6484,-,6781,-,5367,-,4374,-,5868,52,8650,54
Guarapari (ES),4039,-,3431,-,4266,-,6170,-,7062,-,5761,-,7252,-,6856,-,9715,-,8535,-,12096,-,26200,-,16855,-,20926,-,34071,-,36564,-,37842,-,19878,-,23945,-,44212,-,25671,-
Alegre (ES),11416,-,10249,-,14060,-,20580,-,22906,-,23224,-,15127,-,16873,-,34212,-,21751,-,15160,-,27071,-,45337,-,44135,-,52665,-,50339,-,69475,246,83146,258,77472,217,83187,280,95796,195
Cachoeiro de Itapemirim (ES),10988,-,8938,-,14691,-,22322,-,21201,-,21643,-,21276,-,17594,-,22156,-,16424,-,18699,-,25657,-,23597,-,27660,-,24382,-,14539,-,28560,-,27397,-,28522,-,30364,-,40161,-
Itapemirim (ES),24186,-,19343,-,33065,-,44558,-,64671,-,66648,19,65439,-,55185,-,54877,-,29120,-,78500,-,88927,-,101486,44,91128,35,114459,45,67664,194,92508,204,96434,144,94101,360,98612,367,112833,361
Itaperuna (RJ),10708,-,9374,-,14105,-,14922,-,24335,-,29034,-,21850,-,28119,-,51830,-,41078,-,20179,-,35288,-,43985,-,21453,-,25136,-,30895,20,31317,20,34783,-,17370,20,20105,-,33447,-
Santo Antônio de Pádua (RJ),28975,-,21747,-,30320,-,22153,-,61062,-,66498,-,55276,-,40694,-,49677,-,89296,-,64002,-,152171,-,129536,-,87350,-,140619,-,117525,-,112411,-,87156,-,112837,-,107312,-,65840,-
Campos dos Goytacazes (RJ),111150,204,107656,182,149060,182,162731,282,195771,257,173438,290,164661,580,143819,478,106852,481,252567,308,213260,412,274144,314,403444,392,330504,142,317292,215,363541,372,320036,307,296362,339,282272,402,308383,418,527169,488
Macaé (RJ),29187,-,27470,-,28497,18,29446,18,33350,12,31134,12,49104,12,27946,14,31766,14,29911,27,30061,27,41915,27,50013,63,59297,60,33218,14,15837,29,10341,38,11498,19,10609,39,11905,41,12658,46
Três Rios (RJ),2477,-,1472,-,1623,-,1578,-,6283,-,5967,-,5101,-,11101,-,5774,-,6195,-,3790,-,12288,-,13408,-,19416,-,22134,-,35105,-,26889,-,25573,-,20802,-,22462,-,30982,-
Cantagalo-Cordeiro (RJ),2708,60,2661,65,2750,70,3167,70,3587,118,3412,109,3759,-,2514,-,6204,-,4503,-,5164,-,3580,-,4549,-,4633,-,2242,-,2124,-,2571,-,2195,-,2943,-,3894,-,3997,-
Nova Friburgo (RJ),25101,1636,20099,1848,17575,1938,21821,2832,35912,2788,28872,3985,32455,3720,27076,3714,76692,3861,47116,2871,57258,3050,82142,3605,76753,3187,67485,3405,80291,5218,49890,7589,64884,6500,73535,4097,89961,4543,83327,3472,131157,5366
Santa Maria Madalena (RJ),10570,135,9884,146,7631,156,10951,273,14563,543,12506,503,14317,382,14107,383,31496,364,22235,373,25440,391,18227,446,22654,636,21837,631,31699,634,26900,1106,37351,1136,31163,876,33643,2377,38156,965,31032,1614
Bacia de São João (RJ),1425,-,1487,-,1693,-,1806,-,2061,-,2297,-,2126,-,2239,-,2268,-,2511,-,2503,-,3322,-,4507,-,3842,-,4108,-,2660,-,2858,-,5235,-,5043,-,8320,-,8967,-
Lagos (RJ),9316,-,16023,-,16601,19,16542,19,16983,13,12578,30,12679,-,11112,-,11330,-,9193,-,9645,-,10499,-,12860,-,14496,-,21301,-,20178,214,30444,988,28374,411,26928,573,31130,193,27707,15
Vale do Paraíba Fluminense (RJ),2751,-,3002,-,4022,-,4031,-,4087,-,4569,-,5308,-,4504,-,4379,-,5038,-,6050,-,6920,-,6936,-,7714,-,3834,27,4120,-,5365,-,5514,-,4911,-,5692,-,6026,-
Barra do Piraí (RJ),2446,-,2342,-,2226,-,2954,-,2876,-,1710,-,3238,-,1422,-,2285,-,2296,-,2688,-,3352,-,3456,-,2679,-,1571,-,2429,-,2056,-,2060,-,6642,-,4629,-,3757,-
Baía da Ilha Grande (RJ),757,-,583,-,977,-,892,-,880,-,1068,-,1051,-,1081,-,1068,-,1068,-,1266,-,2128,-,1815,-,2456,-,2821,-,1243,-,1272,-,5567,-,1610,-,1123,-,2310,-
Vassouras (RJ),38309,8,39200,8,17700,-,24253,-,39679,-,21581,-,25959,-,26331,-,26998,-,24580,-,24570,-,28087,-,29992,-,41400,-,48297,-,51186,-,46448,-,50275,-,40698,-,23208,-,40227,-
Serrana (RJ),3634,-,6652,-,4544,80,3840,80,13090,77,13678,302,13736,181,9789,181,16381,145,12045,145,10435,120,10053,108,16489,127,25730,624,24726,-,34003,49,22952,49,15425,46,18969,-,14051,-,21859,-
Macacu-Caceribu (RJ),2948,592,2531,140,2883,460,2873,340,2820,425,2380,255,2161,255,2578,255,2357,255,2201,165,1912,164,1929,165,2437,140,11396,912,12535,672,14840,915,23352,897,17261,703,14248,2205,16634,1205,21730,1545
Itaguaí (RJ),2601,66,2551,162,4058,83,3587,59,3411,23,3441,24,3429,20,3406,20,3397,11,3408,10,3311,-,4047,-,3922,-,6671,-,6991,-,4569,-,4588,-,12437,-,7755,-,6401,-,5251,-
Rio de Janeiro (RJ),13753,2906,12296,2401,25393,2465,27702,2112,31861,1620,31305,1289,32375,1237,29484,1232,31635,994,32457,1209,32556,876,32783,900,31532,825,43882,786,41961,1783,57187,1736,69579,1584,69316,1259,57463,2258,74051,2051,72389,3642
Jales (SP),24406,-,19721,-,28988,-,41667,-,49987,-,32142,-,33348,-,49855,-,46412,-,133949,-,153723,-,192678,-,245532,-,264928,-,256754,-,304768,27,394695,11,418650,113,431248,353,439028,230,500644,-
Fernandópolis (SP),37337,-,36954,-,52354,-,62781,-,78301,-,61413,-,55241,-,75642,-,92457,-,91236,-,160276,-,131119,-,194167,-,191965,-,220730,-,238698,-,273453,-,360780,-,504430,-,417830,-,449310,-
Votuporanga (SP),33242,-,31657,-,44587,-,58697,-,84237,-,74241,-,87106,-,155068,-,168097,-,212886,-,237061,-,322743,-,387712,-,330004,-,388345,-,396109,-,505022,-,610903,-,762215,-,612815,-,632942,-
São José do Rio Preto (SP),174527,-,251773,-,341537,-,369038,-,394577,-,469377,-,614887,-,735411,-,802981,-,936405,-,1327993,-,1664065,-,1820820,-,2041696,-,1898385,-,2059526,780,2833915,2972,3105878,972,2473364,329,2514410,249,2890493,2556
Catanduva (SP),104648,38,151925,60,225234,62,254352,52,198656,80,305470,117,281294,-,279687,69,312952,154,452864,661,454630,778,559475,839,620730,1151,646677,1309,552846,2440,639702,2490,629659,6113,758243,2774,678980,3192,692741,2396,781220,3285
Auriflama (SP),39197,-,24590,-,36981,-,37861,-,60423,-,54516,-,77344,-,108297,-,72550,-,108970,-,149606,-,294341,-,231671,-,229107,-,184090,-,174903,-,186901,-,285248,-,282392,-,317450,-,325000,-
Nhandeara (SP),15035,-,14658,-,27391,-,49739,-,56044,-,72665,-,145361,-,146020,-,152711,-,261605,-,288560,-,403342,-,380448,-,339933,-,297121,-,352380,-,367094,-,426161,-,406822,-,386111,-,429308,-
Novo Horizonte (SP),73087,-,94016,-,146247,-,165996,-,126190,-,170757,-,213443,-,131001,-,250896,-,252278,-,268235,-,380484,-,517853,-,500542,-,455699,348,510188,198,655865,328,679625,315,647786,102,612650,23,797432,37
Barretos (SP),87797,-,115874,-,157321,-,203194,-,221085,-,203109,-,235800,-,255531,-,226289,-,271280,4,413301,-,426280,-,446375,-,531600,-,544677,-,624849,-,790219,-,835538,-,783583,-,881410,-,961698,-
São Joaquim da Barra (SP),464271,-,651938,-,839886,-,886917,-,1031668,-,884247,-,1059963,-,1256087,-,1209264,-,1300462,-,1232987,-,1580723,-,1824059,-,1942784,-,1716410,-,1812703,-,2484553,-,2574516,-,2400651,-,2658575,-,3239043,-
Ituverava (SP),118734,-,180194,-,230880,-,233897,-,281096,-,254376,-,304809,-,383099,-,328963,-,434417,-,372103,-,503284,-,619746,-,606439,-,566349,-,571851,-,722218,-,772799,-,737571,-,774642,-,1020565,-
Franca (SP),68297,-,87272,-,121639,-,133169,-,137018,-,134296,-,184984,-,222217,-,198311,-,154912,-,197206,-,194629,-,186708,-,199442,-,208320,-,235637,-,337486,-,344175,-,390320,-,368337,-,372071,-
Jaboticabal (SP),304380,120,463449,121,595943,95,643114,104,506790,70,632267,335,707084,-,656444,394,647221,432,719466,959,940374,1069,1164620,770,1183013,578,1269103,869,1322036,925,1377062,1025,1590480,1831,1830919,972,1746455,1500,1726321,1760,1924681,2180
Ribeirão Preto (SP),407527,-,524059,-,666423,-,725115,-,585444,-,706785,-,944327,-,837223,-,1016439,-,883631,-,963527,-,1135885,-,1477428,-,1557628,-,1464372,-,1411142,-,1786963,-,1919877,-,1738510,-,1923018,-,2361715,-
Batatais (SP),102078,-,124144,-,167415,-,171476,-,148690,-,192183,-,303858,-,290878,-,251059,-,310829,-,303437,-,289746,-,445217,-,495389,-,516801,-,527265,-,673226,-,650346,-,576555,-,622695,-,791294,-
Andradina (SP),75963,-,148504,-,121035,-,160792,-,210902,-,192288,-,226833,-,295606,-,399123,-,502803,-,629332,-,1125275,-,980799,-,783268,-,763178,-,863792,718,1140172,253,1044196,146,1111783,259,1253822,-,1578537,-
Araçatuba (SP),201776,-,223879,-,305593,-,296924,-,318366,-,344346,-,442640,-,553282,-,526318,-,587185,-,759170,-,899562,-,929663,-,744770,-,631487,-,792721,-,947210,-,1013119,-,1055779,-,1231187,-,1446560,-
Birigui (SP),131271,-,126149,-,225927,-,259186,-,306397,286,239487,417,320045,601,412111,1154,426489,1542,436883,1158,618773,5908,702771,3992,757423,3293,693621,9392,590673,8802,516354,16373,943347,48817,867797,16980,883326,41148,1057460,28497,1158129,35035
Lins (SP),77940,-,80829,-,100666,-,145897,-,116172,-,107121,-,155441,-,169517,-,180899,-,280966,-,441906,-,469406,-,135167,-,572179,-,500810,-,468969,-,729679,120,670787,648,761617,2691,670206,2915,799613,3412
Bauru (SP),95990,37,150052,288,178152,139,200310,72,175799,36,205489,35,288772,32,330788,33,465394,1022,502217,1330,401859,658,696621,625,786469,19,778555,21,511942,-,499080,-,779308,3010,1070958,636,1115276,938,1039851,938,1105782,1748
Jaú (SP),242937,-,354419,-,448713,-,410002,-,364810,-,440409,-,577546,-,707440,-,453099,-,452914,-,517793,-,1069007,-,979557,-,803476,-,664908,-,759620,-,975660,-,1070878,-,1029751,-,1014947,-,1065108,-
Avaré (SP),84061,-,137212,-,154054,-,207646,-,238059,-,201128,-,276925,-,364498,-,379757,-,347559,-,466096,-,497156,-,611234,-,647938,-,605504,-,735744,-,1028637,-,833127,-,949538,-,1457798,-,1893017,-
Botucatu (SP),63865,-,79471,-,119092,-,157612,-,152522,383,154883,-,152947,-,246672,0,182791,-,199633,-,187742,-,214553,-,319749,-,345546,-,331471,-,323546,-,368848,108,441655,73,835244,49,547567,49,536258,49
Araraquara (SP),244302,-,312055,-,415785,-,592810,-,564643,-,516877,-,602429,-,599946,-,533764,-,491155,-,723635,-,997653,-,1399404,-,1403972,-,1312779,-,1250529,108,1622127,152,2118769,338,1592397,724,1640474,1847,1943378,2420
São Carlos (SP),89157,-,128085,-,160420,-,198002,-,205584,-,200015,-,227996,-,285699,-,236412,-,320282,-,350259,-,443989,-,472866,-,538605,-,490068,-,473196,-,651609,-,718494,-,588444,-,590981,-,792831,-
Rio Claro (SP),58630,-,78461,-,91001,-,89360,-,86453,-,99257,-,136885,-,131255,-,164497,-,101740,-,135598,-,222390,-,239221,-,234962,-,186865,-,219641,-,304874,1152,313129,665,316800,-,334968,-,366120,-
Limeira (SP),134622,-,180796,-,277770,-,263207,-,244193,-,246553,-,302967,-,316020,-,285376,-,432315,-,319223,-,430183,-,497696,-,457980,-,314398,-,469112,-,628166,-,640036,-,619481,-,657858,-,777219,-
Piracicaba (SP),176043,129,241594,217,304351,212,324015,228,322083,25,332339,93,364627,14,388816,27,378268,28,434052,28,608092,27,831023,30,828982,44,695595,24,518955,-,594868,13,660034,883,752042,972,719850,973,727601,1088,735652,1088
Pirassununga (SP),98690,-,95610,-,162141,-,161149,-,173925,-,172853,-,191388,-,210566,-,196341,-,205480,-,252230,-,316681,-,356423,-,394669,-,351035,-,374191,-,434638,-,436088,-,457883,-,541350,-,541044,-
São João da Boa Vista (SP),272863,-,379979,-,441657,-,512375,-,511990,13,438051,13,611174,-,750917,13,598069,13,633984,-,467996,-,608842,-,891321,-,802934,-,657164,-,940600,330,1218449,1253,922481,757,935581,1040,1029744,1126,1278598,1085
Mogi Mirim (SP),89085,-,96330,-,146523,99,181767,196,203824,4,179750,-,173492,-,167649,-,196357,-,219603,-,221405,-,294218,-,281544,-,385649,214,286817,149,315923,243,375692,908,358466,767,299173,743,371047,250,494894,465
Campinas (SP),92743,16,103215,2,216168,183,196713,2,191252,208,183604,43,212446,450,232332,372,197770,1126,178054,25,106212,-,221087,-,237898,141,295359,249,260729,222,335922,349,324541,585,387249,782,378603,1433,487568,2083,540067,645
Amparo (SP),32860,-,39816,-,42164,-,50829,-,56180,-,68828,-,58654,-,64305,-,59378,-,67680,-,50829,-,52924,-,44942,-,63546,-,49528,-,49541,-,67202,282,61411,402,59640,360,69175,265,79523,286
Dracena (SP),10875,299,14131,395,17227,1170,19845,1361,40635,1663,49097,944,62510,224,126671,-,165496,-,153123,-,306974,-,318994,-,401463,-,447696,-,315882,-,412998,-,467250,47,517190,79,464690,78,486460,979,519572,907
Adamantina (SP),59449,113,74812,55,130751,187,137408,125,137669,39,148047,-,259374,-,243075,-,268546,-,348685,-,334721,-,382066,-,414421,1732,441275,2544,399887,2225,420292,1944,437291,3186,473905,6261,427796,3483,473700,6791,474277,6432
Presidente Prudente (SP),146312,13323,159893,15213,268405,14795,325553,7056,430002,7743,403098,6468,483975,12136,488539,18024,606159,22689,677550,24209,871395,4105,1331194,10961,1558887,9593,1569721,20267,1651961,23161,1849565,17336,2252379,31628,2057468,9250,1623657,27377,1929165,26482,2748250,41216
Tupã (SP),25625,-,24323,-,45403,-,70724,-,81329,-,70996,-,62859,-,103104,-,122539,-,183478,-,122769,-,256955,-,211039,98,189980,-,341661,336,333052,2430,564993,9914,461724,2304,445435,3800,416781,-,634004,10486
Marília (SP),18175,58,15294,25,31546,15,52953,702,68363,-,76692,-,55749,-,90514,33,101021,29,82537,-,142704,-,179257,-,181291,36,289621,28,233624,389,258572,173,322941,327,377527,555,350593,807,339932,345,500318,142
Assis (SP),306892,-,523602,-,724813,-,870347,-,790539,-,675749,-,913193,-,914493,-,1234067,-,1035160,-,1285638,-,1753298,-,1755747,-,1817459,2522,1677610,3845,2054512,5607,2211791,17292,2282747,12007,2312224,4423,2379617,4420,2795071,5430
Ourinhos (SP),170167,-,194678,-,249229,-,303075,-,285100,-,294771,-,371783,-,389111,-,454447,-,420379,-,464068,-,551829,-,674822,-,785612,-,898026,-,800112,-,1036813,-,1080446,-,1158132,-,1180708,-,1585616,-
Itapeva (SP),163246,-,251507,-,381131,-,406481,-,429155,-,456989,-,485388,-,631619,-,926065,-,1085741,-,814963,-,629258,-,1177983,-,1269672,117,1592442,516,1847495,2594,2453628,5713,1990698,2669,2136203,2679,2542795,4080,4728976,6154
Itapetininga (SP),67025,-,117708,-,121735,-,108040,-,168891,-,172275,-,150807,-,184572,-,171300,-,213648,-,155561,-,220651,-,276455,-,358174,-,319616,-,437454,-,562717,-,412182,-,407232,-,494343,-,595555,-
Tatuí (SP),74694,320,77899,319,92676,1,111970,506,118793,506,130822,733,164193,114,111011,1,163447,361,177171,34,173539,588,171568,336,141407,378,205227,125,166098,-,233672,-,231649,-,240840,-,235364,39,265789,53,362731,33
Capão Bonito (SP),105050,-,49296,-,129361,-,183815,-,149071,-,178049,-,158306,-,264846,-,450823,-,489488,-,331043,9,275357,-,265126,-,534531,161,1004901,235,959266,823,877278,1382,616282,1391,579770,1319,618745,1913,1060557,2037
Piedade (SP),99954,2200,99201,2393,92538,2750,110966,2920,99674,3219,110170,3506,88846,2337,119394,-,98712,3388,118002,1405,74543,7100,92408,51,99296,27,182730,7733,168728,6919,271023,18264,340434,11174,292275,13424,314373,18120,454417,5669,499618,3625
Sorocaba (SP),41644,-,59577,-,80995,-,83148,161,77547,246,80423,311,81594,-,93817,8,92481,-,98737,141,88091,168,123823,10,113163,-,152947,-,128936,86,161728,125,159752,86,192840,103,192486,229,223799,217,250026,147
